id,start_date_local,name,type,moving_time,distance,elapsed_time,total_elevation_gain,max_speed,average_speed,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories,device_watts,icu_average_watts,icu_normalized_watts,icu_joules,icu_intensity,icu_training_load,icu_training_load_edited,icu_rpe,pace,icu_fatigue,icu_fitness,icu_eftp,icu_variability,icu_efficiency,trainer,commute,race,sub_type,icu_ftp,icu_w_prime,p_max,threshold_pace,power_load,hr_load,pace_load,icu_resting_hr,lthr,hr_z1,hr_z2,hr_z3,hr_z4,hr_z5,hr_z6,hr_max,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight,icu_ignore_power,icu_ignore_hr,icu_ignore_time,icu_recording_time,icu_warmup_time,icu_cooldown_time,icu_hrrc,icu_hrrc_start_bpm,icu_power_spike_threshold,icu_pm_ftp,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,start_date,icu_sync_date,timezone,file_type,external_id,compliance,gear,description
i148507800,2026-05-15T14:35:22,Zwift - Minute On Minute Off,VirtualRide,4728,28619.4,4740,436.0,21.63,6.037,True,179,154,81.982,746,True,165,191,782211,84.513275,94,,,6.0531726,35.254578,36.751266,225.0,1.1575757,1.2402598,True,False,False,,226,,,,94,81.0,,55,177,142,158,165,176,181,186,195,768.0,2030.0,1066.0,818.0,46.0,0.0,0.0,1334,1383,909,300,699,43,60,512,114.0,False,False,False,4739,1200,600,23.0,178.0,,180,177,14237,902,2026-05-15T12:35:22Z,2026-05-15T13:54:38Z,,fit,2138590764567904288,,,
i147498328,2026-05-12T13:30:50,Zwift - Southern Coast Cruise in Watopia,VirtualRide,3053,24066.21,3056,138.0,12.36,7.875,True,187,154,72.92668,485,True,167,189,508828,83.62832,59,,,7.8828073,34.90902,37.096966,225.0,1.1317365,1.2272727,True,False,False,,226,,,,59,52.0,,55,177,142,158,165,176,181,186,195,578.0,1343.0,328.0,653.0,125.0,19.0,7.0,408,1410,768,221,72,76,98,350,114.0,False,False,False,3055,0,0,23.0,179.0,,180,177,14231,602,2026-05-12T11:30:50Z,2026-05-12T12:21:58Z,,fit,2136383464591622176,,,
i146036598,2026-05-06T21:46:03,Zwift - Tempus Fugit in Watopia,VirtualRide,2134,20210.92,2134,33.0,12.375,9.466,True,186,166,78.41797,423,True,208,212,443563,93.80531,52,,,9.470909,63.75246,41.192417,226.0,1.0192307,1.2771084,True,False,False,,226,,,,52,48.0,,55,177,142,158,165,176,181,186,195,34.0,335.0,558.0,849.0,285.0,74.0,0.0,35,75,842,932,164,78,9,1091,114.0,False,False,False,2133,0,0,12.0,180.0,,206,201,18370,481,2026-05-06T19:46:03Z,2026-05-06T20:22:02Z,,fit,2132284568609243184,,,
i145758840,2026-05-05T21:06:24,Zwift - Big Flat 8 in Watopia,VirtualRide,6544,53218.51,6548,181.0,14.948,8.127,True,177,154,74.46113,1003,True,160,168,1050450,74.33628,100,,,8.132413,65.55723,40.932007,226.0,1.05,1.0909091,True,False,False,,226,,,,100,109.0,,55,177,142,158,165,176,181,186,195,1146.0,2959.0,1542.0,896.0,1.0,0.0,0.0,773,2630,2489,492,130,29,1,1120,114.0,False,False,False,6547,1200,600,13.0,177.0,,171,167,14915,445,2026-05-05T19:06:24Z,2026-05-05T20:55:56Z,,fit,2131539818235052064,,,
i145307831,2026-05-04T11:50:57,Zwift - Southern Coast Cruise in Watopia,VirtualRide,4878,36055.75,4883,215.0,14.133,7.382,True,178,138,70.63544,691,True,149,165,727130,73.00885,72,,,7.391503,60.268024,39.50875,226.0,1.1073825,1.1956521,True,False,False,,226,,,,72,56.0,,55,177,142,158,165,176,181,186,195,3749.0,888.0,117.0,116.0,8.0,0.0,0.0,999,2556,916,290,65,22,30,472,114.0,False,False,False,4882,1200,600,,,999.0,158,155,13090,1090,2026-05-04T09:50:57Z,2026-05-04T16:28:48Z,,fit,2130535482906394624,,,
i145178474,2026-05-03T21:48:17,Zwift - Tempus Fugit in Watopia,VirtualRide,2862,25262.71,2862,39.0,12.24,8.823,True,195,160,74.44221,514,True,188,220,537934,104.7619,87,,,8.826943,58.466404,38.72587,226.0,1.1702127,1.375,True,False,False,,210,,,,87,55.0,,55,177,142,158,165,176,181,186,195,245.0,995.0,839.0,636.0,38.0,57.0,53.0,114,265,1457,788,120,13,106,1401,114.0,False,False,False,2861,0,0,26.0,186.0,,196,193,13750,595,2026-05-03T19:48:17Z,2026-05-03T20:36:20Z,,fit,2130111298237628464,,,
i144904243,2026-05-02T22:47:59,Zwift - Flat Out Fast in Watopia,VirtualRide,2829,25149.63,2836,52.0,11.262,8.877,True,195,171,80.55945,554,True,205,212,581028,100.95238,80,,,8.889936,54.084644,37.56269,226.0,1.0341463,1.2397661,True,False,False,,210,,,,80,73.0,,55,177,142,158,165,176,181,186,195,158.0,227.0,395.0,687.0,491.0,476.0,395.0,108,83,429,1249,767,193,0,691,114.0,False,False,False,2835,0,0,23.0,195.0,,216,212,18017,338,2026-05-02T20:47:59Z,2026-05-02T21:35:29Z,,fit,2129416600003051552,,,
i144624492,2026-05-01T17:49:19,Zwift - Red Zone Repeats in Makuri Islands,VirtualRide,3114,25104.2,3114,108.0,13.311,8.059,True,185,159,74.06982,521,True,175,185,546325,88.09524,67,,,8.061721,50.104954,36.540154,226.0,1.0571429,1.163522,True,False,False,,210,,,,67,58.0,,55,177,142,158,165,176,181,186,195,283.0,1164.0,700.0,746.0,152.0,70.0,0.0,228,564,1228,647,324,94,30,758,114.0,False,False,False,3113,0,0,17.0,180.0,,184,181,13953,507,2026-05-01T15:49:19Z,2026-05-01T16:41:29Z,,fit,2128541527671046176,,,
i144277960,2026-04-30T12:18:58,Zwift - Greater London Flat in London,VirtualRide,3092,25170.98,3096,114.0,12.68,8.13,True,184,153,77.812355,512,True,173,181,536600,86.190475,64,,,8.140679,47.510468,35.806217,226.0,1.0462428,1.1830065,True,False,False,,210,,,,64,51.0,,55,177,142,158,165,176,181,186,195,452.0,1512.0,854.0,217.0,32.0,25.0,0.0,231,296,1573,778,132,76,6,1280,114.0,False,False,False,3095,0,0,,,,174,170,14712,361,2026-04-30T10:18:58Z,2026-04-30T11:10:41Z,,fit,2127650515222282272,,,
i144184881,2026-04-29T23:18:00,Zwift - Tempus Fugit in Watopia,VirtualRide,2956,25077.29,2956,39.0,11.035,8.48,True,183,152,75.07684,476,True,169,176,498877,83.809525,58,,,8.483521,44.978252,35.12688,226.0,1.0414201,1.1578947,True,False,False,,210,,,,58,47.0,,55,177,142,158,165,176,181,186,195,358.0,1932.0,347.0,219.0,79.0,22.0,0.0,222,386,1713,431,144,61,0,977,114.0,False,False,False,2955,0,0,,,,184,181,13939,308,2026-04-29T21:18:00Z,2026-04-29T22:07:43Z,,fit,2127257385675276304,,,
